time,open,high,low,close,volume
2024-11-01 02:13:00,70362.54,70381.84,70352.77,70359.99,482
2024-11-01 02:14:00,70357.24,70404.28,70344.64,70388.74,444
2024-11-01 02:15:00,70394.49,70465.24,70381.17,70442.83,419
2024-11-01 02:16:00,70442.83,70494.37,70423.1,70459.49,548
2024-11-01 02:17:00,70461.49,70468.06,70416.92,70435.74,596
2024-11-01 02:18:00,70434.24,70460.13,70426.23,70446.05,538
2024-11-01 02:19:00,70446.1,70485.99,70429.67,70482.63,346
2024-11-01 02:20:00,70482.64,70524.91,70480.57,70508.63,451
2024-11-01 02:21:00,70509.88,70528.64,70493.32,70523.06,232
2024-11-01 02:22:00,70523.45,70533.2,70450.43,70456.8,270
2024-11-01 02:23:00,70455.57,70474.74,70440.55,70453.74,117
2024-11-01 02:24:00,70453.99,70463.52,70445.69,70462.99,66
2024-11-01 02:25:00,70462.74,70463.8,70437.71,70446.99,130
2024-11-01 02:26:00,70447.24,70462.49,70445.48,70450.99,75
2024-11-01 02:27:00,70441.57,70460.49,70426.99,70458.99,152
2024-11-01 02:28:00,70459.24,70514.74,70450.23,70513.1,188
2024-11-01 02:29:00,70512.78,70542.99,70501.51,70506.24,337
2024-11-01 02:30:00,70508.92,70533.99,70474.38,70481.99,282
2024-11-01 02:31:00,70481.49,70514.35,70460.11,70472.24,224
2024-11-01 02:32:00,70472.49,70487.24,70460.4,70475.74,174
2024-11-01 02:33:00,70475.49,70510.2,70475.49,70503.49,155
2024-11-01 02:34:00,70498.58,70501.74,70466.0,70472.49,146
2024-11-01 02:35:00,70472.24,70491.99,70461.27,70491.99,99
2024-11-01 02:36:00,70488.85,70542.87,70480.2,70531.99,190
2024-11-01 02:37:00,70532.24,70549.21,70497.2,70509.24,400
2024-11-01 02:38:00,70508.99,70508.99,70435.92,70458.74,302
2024-11-01 02:39:00,70458.49,70458.49,70393.74,70415.99,254
2024-11-01 02:40:00,70416.24,70441.99,70412.17,70432.86,135
2024-11-01 02:41:00,70432.61,70443.24,70406.58,70417.74,165
2024-11-01 02:42:00,70418.24,70419.49,70346.49,70358.99,240
2024-11-01 02:43:00,70359.49,70379.74,70355.99,70370.99,115
2024-11-01 02:44:00,70374.95,70380.6,70371.54,70373.49,84
2024-11-01 02:45:00,70373.46,70373.46,70337.24,70352.99,142
2024-11-01 02:46:00,70353.24,70356.49,70314.37,70321.24,188
2024-11-01 02:47:00,70321.49,70351.74,70304.46,70335.99,166
2024-11-01 02:48:00,70335.99,70343.74,70300.8,70309.24,97
2024-11-01 02:49:00,70308.99,70322.24,70295.61,70322.24,110
2024-11-01 02:50:00,70322.49,70339.5,70310.4,70313.49,97
2024-11-01 02:51:00,70313.24,70320.99,70294.26,70316.24,164
2024-11-01 02:52:00,70309.57,70313.49,70274.34,70287.99,177
2024-11-01 02:53:00,70288.24,70301.32,70279.86,70288.49,154
2024-11-01 02:54:00,70282.41,70282.41,70220.13,70241.99,265
2024-11-01 02:55:00,70243.95,70262.91,70236.46,70242.99,129
2024-11-01 02:56:00,70242.76,70243.58,70219.18,70228.9,186
2024-11-01 02:57:00,70228.4,70228.4,70207.03,70211.74,53
